race_id,rank,frame_number,horse_number,horse_id,age,burden_weight,rider_id,popular,tamer_id,owner_id,is_senba,is_mesu,is_osu,race_round,weather,ground_status,where_racecourse,total_horse_number,is_left_right_straight
201805010201,4,2,4,2015102713,3,56.0,1075,3.0,1020,842033,0,0,1,1,天候 : 曇,ダート : 不良,東京,16,左
201805010201,5,2,3,2015103445,3,56.0,422,9.0,1090,571006,0,0,1,1,天候 : 曇,ダート : 不良,東京,16,左
201805010201,6,5,9,2015102684,3,56.0,641,7.0,1052,224007,0,0,1,1,天候 : 曇,ダート : 不良,東京,16,左
201805010201,7,8,15,2015106490,3,56.0,5203,8.0,1153,37803,0,0,1,1,天候 : 曇,ダート : 不良,東京,16,左
201805010201,8,3,5,2015101282,3,53.0,1158,12.0,1012,452002,0,0,1,1,天候 : 曇,ダート : 不良,東京,16,左
201805010201,9,3,6,2015102947,3,56.0,1092,11.0,1026,783033,0,0,1,1,天候 : 曇,ダート : 不良,東京,16,左
201805010201,10,7,13,2015106010,3,56.0,1085,1.0,421,775002,0,0,1,1,天候 : 曇,ダート : 不良,東京,16,左
201805010201,11,8,16,2015105807,3,55.0,1153,6.0,1108,102800,0,0,1,1,天候 : 曇,ダート : 不良,東京,16,左
201805010201,12,5,10,2015100070,3,56.0,5386,10.0,402,11009,0,0,1,1,天候 : 曇,ダート : 不良,東京,16,左
201805010201,13,6,12,2015105543,3,56.0,689,13.0,1081,851009,0,0,1,1,天候 : 曇,ダート : 不良,東京,16,左
201805010201,14,4,8,2015102089,3,56.0,1091,16.0,1141,481002,0,0,1,1,天候 : 曇,ダート : 不良,東京,16,左
201805010201,15,1,1,2015102638,3,54.0,1109,15.0,383,226006,0,1,0,1,天候 : 曇,ダート : 不良,東京,16,左
201805010201,16,7,14,2015102952,3,56.0,1051,14.0,1077,832008,0,0,1,1,天候 : 曇,ダート : 不良,東京,16,左
201805010202,1,5,9,2015106266,3,54.0,1051,8.0,1112,895800,0,1,0,2,天候 : 曇,ダート : 不良,東京,16,左
201805010202,2,1,2,2015102230,3,54.0,641,1.0,1152,547800,0,1,0,2,天候 : 曇,ダート : 不良,東京,16,左
201805010202,3,6,12,2015100050,3,54.0,1009,5.0,1119,494800,0,1,0,2,天候 : 曇,ダート : 不良,東京,16,左
201805010202,4,7,13,2015104609,3,54.0,1029,10.0,1116,755033,0,1,0,2,天候 : 曇,ダート : 不良,東京,16,左
201805010202,5,4,7,2015100871,3,56.0,689,7.0,1010,350004,0,0,1,2,天候 : 曇,ダート : 不良,東京,16,左
201805010202,6,5,10,2015104537,3,54.0,422,3.0,1113,310007,0,1,0,2,天候 : 曇,ダート : 不良,東京,16,左
201805010202,7,8,16,2015101892,3,56.0,1031,2.0,435,262002,0,0,1,2,天候 : 曇,ダート : 不良,東京,16,左
201805010202,8,3,6,2015105457,3,56.0,1043,4.0,1133,854800,0,0,1,2,天候 : 曇,ダート : 不良,東京,16,左
201805010202,9,3,5,2015103628,3,56.0,1096,9.0,1094,13803,0,0,1,2,天候 : 曇,ダート : 不良,東京,16,左
201805010202,10,6,11,2015102993,3,54.0,1131,15.0,437,786006,0,1,0,2,天候 : 曇,ダート : 不良,東京,16,左
201805010202,11,2,4,2015101037,3,54.0,684,12.0,1031,491030,0,1,0,2,天候 : 曇,ダート : 不良,東京,16,左
201805010202,12,4,8,2015102628,3,54.0,663,6.0,436,854800,0,1,0,2,天候 : 曇,ダート : 不良,東京,16,左
201805010202,13,7,14,2015102480,3,56.0,629,11.0,1008,159033,0,0,1,2,天候 : 曇,ダート : 不良,東京,16,左
201805010202,14,2,3,2015106358,3,56.0,1091,13.0,1005,338006,0,0,1,2,天候 : 曇,ダート : 不良,東京,16,左
201805010202,15,8,15,2015101213,3,51.0,1158,14.0,1029,59803,0,1,0,2,天候 : 曇,ダート : 不良,東京,16,左
201805010202,16,1,1,2015100152,3,56.0,1140,16.0,1094,22803,0,0,1,2,天候 : 曇,ダート : 不良,東京,16,左
201805010203,1,6,11,2015100355,3,56.0,1009,2.0,1030,129005,0,0,1,3,天候 : 曇,ダート : 不良,東京,16,左
201805010203,2,2,3,2015104555,3,56.0,5386,4.0,1064,148800,0,0,1,3,天候 : 曇,ダート : 不良,東京,16,左
201805010203,3,5,10,2015101542,3,56.0,663,5.0,408,965800,0,0,1,3,天候 : 曇,ダート : 不良,東京,16,左
201805010203,4,7,14,2015104118,3,56.0,1096,3.0,1027,808800,0,0,1,3,天候 : 曇,ダート : 不良,東京,16,左
201805010203,5,3,6,2015105958,3,56.0,5339,1.0,1059,249033,0,0,1,3,天候 : 曇,ダート : 不良,東京,16,左
201805010203,6,4,7,2015101251,3,51.0,1169,9.0,392,672800,0,1,0,3,天候 : 曇,ダート : 不良,東京,16,左
201805010203,7,2,4,2015104458,3,53.0,1158,15.0,1109,52009,0,0,1,3,天候 : 曇,ダート : 不良,東京,16,左
201805010203,8,7,13,2015101083,3,54.0,1092,7.0,1131,290033,0,1,0,3,天候 : 曇,ダート : 不良,東京,16,左
201805010203,9,1,2,2015102697,3,56.0,641,11.0,409,399009,0,0,1,3,天候 : 曇,ダート : 不良,東京,16,左
201805010203,10,6,12,2015102433,3,54.0,689,10.0,1056,12033,0,1,0,3,天候 : 曇,ダート : 不良,東京,16,左
201805010203,11,3,5,2015101896,3,56.0,1075,6.0,1081,438002,0,0,1,3,天候 : 曇,ダート : 不良,東京,16,左
201805010203,12,5,9,2015104620,3,56.0,422,8.0,399,180800,0,0,1,3,天候 : 曇,ダート : 不良,東京,16,左
201805010203,13,8,15,2015105978,3,56.0,1043,14.0,420,587008,0,0,1,3,天候 : 曇,ダート : 不良,東京,16,左
201805010203,14,4,8,2015102976,3,56.0,1049,16.0,370,514009,0,0,1,3,天候 : 曇,ダート : 不良,東京,16,左
201805010203,15,1,1,2015100360,3,56.0,1085,13.0,1093,939006,0,0,1,3,天候 : 曇,ダート : 不良,東京,16,左
201805010203,16,8,16,2015102593,3,55.0,1160,12.0,1047,493006,0,0,1,3,天候 : 曇,ダート : 不良,東京,16,左
