race_id,race_round,race_title,weather,ground_status,date,where_racecourse,total_horse_number,frame_number_first,horse_number_first,frame_number_second,horse_number_second,frame_number_third,horse_number_third,tansyo,hukusyo_first,hukusyo_second,hukusyo_third,wakuren,umaren,wide_1_2,wide_1_3,wide_2_3,umatan,renhuku3,rentan3,is_left_right_straight,distance,hour
202005050311,11,第25回東京中日S杯武蔵野S(G3),天候 : 晴,ダート : 良,2020年11月14日,東京,16,3,6,6,12,4,7,510,190,770,470,850,10790,2220,1190,6930,17080,37010,203670,左,1600,15
202005050312,12,3歳以上2勝クラス,天候 : 晴,ダート : 良,2020年11月14日,東京,16,6,12,6,11,5,9,470,200,290,200,2300,2110,720,520,1100,3740,4620,27520,左,1400,16
202005050401,1,2歳未勝利,天候 : 晴,ダート : 良,2020年11月15日,東京,13,7,11,8,12,5,7,190,110,140,120,400,400,200,190,360,620,570,1950,左,1600,9
202005050403,3,2歳未勝利,天候 : 晴,ダート : 良,2020年11月15日,東京,14,8,13,3,4,4,5,320,130,170,140,460,1080,310,270,450,1530,1480,8210,左,1400,10
202005050406,6,2歳新馬,天候 : 晴,ダート : 良,2020年11月15日,東京,13,6,8,6,9,5,6,1880,350,200,340,4640,4080,940,3120,1310,10250,16720,105880,左,1600,12
202005050407,7,3歳以上1勝クラス,天候 : 晴,ダート : 良,2020年11月15日,東京,16,8,16,4,8,6,11,730,240,170,160,1690,2060,870,720,380,3930,3070,20240,左,1400,13
202005050410,10,秋色ステークス ,天候 : 晴,ダート : 良,2020年11月15日,東京,16,4,8,8,16,5,9,1030,350,1130,270,1690,28250,6650,1750,6020,49080,94230,484800,左,1400,14
202005050412,12,3歳以上2勝クラス,天候 : 晴,ダート : 良,2020年11月15日,東京,16,1,1,8,16,3,6,190,110,290,960,1350,1610,610,1620,7340,1960,19260,58800,左,1600,16
202005050501,1,2歳未勝利,天候 : 晴,ダート : 良,2020年11月21日,東京,16,4,8,3,6,3,5,130,100,160,240,300,430,200,350,910,500,1340,2790,左,1300,9
202005050502,2,2歳未勝利,天候 : 晴,ダート : 良,2020年11月21日,東京,16,7,13,2,4,3,5,150,110,170,150,300,650,280,230,470,930,980,3420,左,1400,10
202005050504,4,2歳新馬,天候 : 晴,ダート : 良,2020年11月21日,東京,16,5,10,1,1,1,2,490,160,180,160,460,1760,530,440,420,3590,2210,14300,左,1400,11
202005050507,7,3歳以上1勝クラス,天候 : 晴,ダート : 良,2020年11月21日,東京,16,4,8,3,5,5,10,1760,580,1140,480,3900,44120,7660,5970,4880,86660,224700,2042640,左,1600,13
202005050509,9,西湖特別 ,天候 : 晴,ダート : 良,2020年11月21日,東京,16,1,1,8,15,4,7,520,200,210,250,1330,1690,640,650,1060,3630,5150,24220,左,1600,14
202005050510,10,伊勢佐木特別 ,天候 : 晴,ダート : 良,2020年11月21日,東京,16,3,6,5,9,4,7,520,210,170,180,1500,1750,600,680,530,3350,3270,16820,左,2100,14
202005050601,1,2歳未勝利,天候 : 晴,ダート : 良,2020年11月22日,東京,15,7,12,2,3,5,8,790,220,390,120,3000,10810,3020,510,1000,16630,8850,69710,左,1600,9
202005050606,6,2歳新馬,天候 : 晴,ダート : 良,2020年11月22日,東京,16,2,4,3,5,7,13,380,170,210,1670,1070,1020,560,5220,8360,1880,27450,76090,左,1600,12
202005050607,7,3歳以上1勝クラス,天候 : 晴,ダート : 良,2020年11月22日,東京,16,1,2,7,13,2,4,490,210,300,260,1700,2910,1050,620,1160,4170,5750,27890,左,2100,13
202005050608,8,3歳以上1勝クラス,天候 : 晴,ダート : 良,2020年11月22日,東京,16,4,7,7,14,2,4,1740,330,160,190,2780,2940,940,1220,410,7840,4380,40890,左,1300,13
202005050611,11,霜月ステークス ,天候 : 晴,ダート : 良,2020年11月22日,東京,16,7,14,6,11,2,3,1920,480,190,1190,830,3590,1410,11270,3650,8260,52760,311000,左,1400,15
202005050701,1,2歳未勝利,天候 : 晴,ダート : 良,2020年11月23日,東京,16,5,9,8,16,3,6,1470,270,280,120,2210,8540,2080,510,690,16760,5570,64580,左,1400,9
202005050703,3,2歳未勝利,天候 : 晴,ダート : 良,2020年11月23日,東京,16,7,13,8,15,2,4,860,230,170,430,1210,1190,510,1930,1030,2500,8360,44300,左,1600,10
202005050707,7,3歳以上1勝クラス,天候 : 晴,ダート : 良,2020年11月23日,東京,16,6,12,1,2,8,16,560,210,580,810,1340,5220,2350,2530,6290,11800,53360,233590,左,1600,13
202005050708,8,3歳以上1勝クラス,天候 : 晴,ダート : 良,2020年11月23日,東京,16,8,15,3,6,8,16,7790,1940,230,340,2010,20410,5780,6520,940,57750,52640,579710,左,1400,13
202005050709,9,東村山特別 ,天候 : 曇,ダート : 良,2020年11月23日,東京,16,7,13,7,14,3,5,230,120,140,290,430,420,230,880,1140,720,3220,7930,左,1300,14
